Time,Productions
201303,6.543
201304,8.014
201305,7.025
201306,7.573
201307,6.636
201308,9.973
201309,12.298
201310,12.466
201311,14.652
201312,15.66
201401,14.3
201402,10.181
201403,10.974
201404,10.587
201405,12.422
201406,12.527
201407,13.078
201408,12.018
201409,18.093
201410,17.216
201411,18.276
201412,17.146
201501,18.825
201502,10.146
201503,13.223
201504,12.631
201505,12.361
201506,14.455
201507,12.847
201508,11.08
201509,13.544
201510,15.057
201511,16.835
201512,17.301
201601,19.628
201602,10
201603,15.496
201604,15.557
201605,14.757
201606,13.669
201607,13.756
201608,14.678
201609,19.124
201610,16.387
201611,19.629
201612,19.299
201701,12.282
201702,12.616
201703,16.14
201704,15.367
201705,13.498
201706,13.068
201707,12.953
201708,12.15
201709,18.231
201710,18.447
201711,21.724
201712,21.968
201801,19.027
201802,11.224
201803,13.723
201804,14.637
201805,12.846
201806,9.14
